Name of Restaurant,Location,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
Hot N Cool,Pallavaram,['Fast Food'],Favourite Dishe,200.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Roast r Toast,Chromepet,"['Sandwich', ' Burger', ' Italian']",Favourite Dishe,250.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Table booking recommended']"
M.S Restaurant,Tiruvottiyur,['Chinese'],Favourite Dishe,200.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Indoor Seating']
Oh My Shawarma,Thuraipakkam,['Lebanese'],Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Delivery Only']
Juice Box,Taramani,"['Beverages', ' Fast Food', ' Street Food']",Favourite Dishe,250.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Delivery Only']
Sri Shasa Foods,Porur,['South Indian'],Favourite Dishe,250.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Creme Tunes,Arumbakkam,"['Bakery', ' Street Food', ' Fast Food', ' Desserts']",Favourite Dishe,350.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating', 'Self Service', 'Desserts and Bakes']"
Hotel Veg Bhavan,Thousand Lights,"['Chinese', ' North Indian', ' South Indian']",Favourite Dishe,350.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
Nice To Meet You,Anna Salai,['Fast Food'],Favourite Dishe,200.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Home Delivery']
Ashwa Kandha,Ramapuram,"['Arabian', ' Chinese', ' North Indian']",Favourite Dishe,400.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Tea & Toast,Nungambakkam,"['Cafe', ' Beverages', ' Desserts', ' Healthy Food']",Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
2Idly 1 Vadai Restaurant,Valasaravakkam,['South Indian'],Favourite Dishe,250.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Breakfast', 'Indoor Seating']"
Coal Steam,Perungudi,['Fast Food'],Favourite Dishe,150.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Indoor Seating']
Omaha Re,Potheri,"['North Indian', ' Fast Food', ' Chinese']",Favourite Dishe,400.0,Not provide Dining,Not provide Dining,4.0,132,['Delivery Only']
Amogha Catering,Velachery,"['South Indian', ' Chinese']",Favourite Dishe,150.0,Not provide Dining,Not provide Dining,3.8,26,"['Home Delivery', 'Indoor Seating']"
Kalpasi Multi Cuisine Restaurant,Perungudi,"['South Indian', ' Chinese']",Favourite Dishe,200.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Lakshmi Restaurant,Poonamalle,"['North Indian', ' South Indian', ' Chinese']",Favourite Dishe,400.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Rani's Kitchen,East Coast Road (ECR),"['South Indian', ' Chettinad', ' Chinese']",Favourite Dishe,250.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Indoor Seating', 'Outdoor Seating']"
Ramzan Special Biryani,Tambaram,['Biryani'],Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Takeaway Only']
New Madurai Raja Vilas,Washermenpet,['South Indian'],Favourite Dishe,200.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Royal Bar,Triplicane,"['Bar Food', ' North Indian']",Favourite Dishe,1700.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Full Bar Available', 'Indoor Seating']"
Pizza Xpress,Tambaram,"['Pizza', ' Fast Food']",Favourite Dishe,350.0,Not provide Dining,Not provide Dining,3.6,36,['Home Delivery']
Sai Sandwiches Shop,Chromepet,"['Sandwich', ' Fast Food', ' Rolls', ' Beverages']",Favourite Dishe,350.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Delivery Only']
Zaffi 3.0,East Coast Road (ECR),"['South Indian', ' Chinese', ' Beverages']",Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Five Star,Porur,['Fast Food'],Favourite Dishe,250.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Indoor Seating']
Chef's Bakery,Egmore,"['Desserts', ' Bakery']",Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Free Parking', 'Desserts and Bakes', 'Indoor Seating', 'Kid Friendly']"
Somu Bhavan,Washermenpet,['South Indian'],Favourite Dishe,200.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Breakfast', 'Vegetarian Only', 'Indoor Seating']"
Al Mass Malaysian Parotta,Nandanam,['South Indian'],Favourite Dishe,200.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Breakfast', 'Indoor Seating']"
Olala Seanut Restaurant,Kanathur,"['Chinese', ' Biryani']",Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Eyarkai Catering,Saligramam,"['Biryani', ' Chettinad', ' South Indian']",Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Ameer Biryani,Sholinganallur,"['Biryani', ' Chinese', ' Hyderabadi']",Favourite Dishe,500.0,Not provide Dining,Not provide Dining,3.1,77,['Delivery Only']
Dawat Ki Chai,Potheri,"['Beverages', ' Fast Food']",Favourite Dishe,300.0,Not provide Dining,Not provide Dining,3.8,104,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
The Tambourine Multicuisine Restaurant,East Coast Road (ECR),"['Chinese', ' North Indian', ' South Indian', ' Fast Food']",Favourite Dishe,700.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Radha Sweets And Bakery,Madhavaram,"['Mithai', ' Bakery']",Favourite Dishe,150.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Indoor Seating', 'Desserts and Bakes']"
Sabari Hot & Chill,K.K. Nagar,"['South Indian', ' Tea']",Favourite Dishe,150.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Saraswathi Tiffen Center,Nanganallur,['South Indian'],Favourite Dishe,100.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Indoor Seating']
Rehobath Seafood Center,Anna Nagar East,['Seafood'],Favourite Dishe,400.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Delivery Only']
Mumbai Vadapav,Potheri,['Maharashtrian'],Favourite Dishe,200.0,Not provide Dining,Not provide Dining,3.9,60,['Home Delivery']
Hotel Andavar,Adambakkam,"['South Indian', ' Biryani', ' Chinese']",Favourite Dishe,350.0,Not provide Dining,Not provide Dining,3.9,47,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Muscle Chef,Mandaveli,"['Beverages', ' Sandwich']",Favourite Dishe,250.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Home Delivery']
The Sandwich Club,Avadi,['Sandwich'],Favourite Dishe,150.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Chill Out,Muttukadu,"['Beverages', ' Juices', ' Fast Food']",Favourite Dishe,200.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Indoor Seating']
Kebabery Express,Royapettah,"['North Indian', ' Biryani', ' Lebanese']",Favourite Dishe,450.0,Not provide Dining,Not provide Dining,3.4,100,"['Home Delivery', 'Outdoor Seating']"
Sandwich King,Pallikaranai,"['Sandwich', ' Fast Food']",Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Home Delivery']
Mandarin,Velachery,['Chinese'],Favourite Dishe,500.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Delivery Only']
Punjab Town,Taramani,['North Indian'],Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Breakfast', 'Free Parking', 'Indoor Seating']"
Vinayaga,Tiruvottiyur,"['Street Food', ' Sandwich', ' Beverages']",Favourite Dishe,150.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Sudha foods,Kolathur,"['Biryani', ' Fast Food', ' Sandwich', ' Beverages']",Favourite Dishe,350.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Hot Chaat Sweet,Poonamalle,"['Fast Food', ' Street Food']",Favourite Dishe,200.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Salom Shawarma,Sholinganallur,"['Chinese', ' Lebanese']",Favourite Dishe,400.0,Not provide Dining,Not provide Dining,3.4,28,['Home Delivery']
Sai Atcharaas Juice Plaza,Tambaram,['Beverages'],Favourite Dishe,200.0,Not provide Dining,Not provide Dining,3.7,48,"['Home Delivery', 'Indoor Seating']"
Coco Tree,Medavakkam,"['Fast Food', ' Beverages']",Favourite Dishe,250.0,Not provide Dining,Not provide Dining,3.8,16,"['Home Delivery', 'Indoor Seating']"
Sri Annapoorna Meals,Pallavaram,"['North Indian', ' South Indian']",Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Chamber Of Sugar,Adyar,['Cafe'],Favourite Dishe,350.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
Gannam Hotel,Valasaravakkam,"['South Indian', ' Chinese']",Favourite Dishe,600.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Desire Restaurant,Sholinganallur,"['Chinese', ' South Indian', ' Beverages']",Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Arima Restaurant,Mogappair,['South Indian'],Favourite Dishe,200.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Takeaway Only']
Ecr Biryani,Ambattur,"['Biryani', ' Chinese', ' Arabian']",Favourite Dishe,350.0,Not provide Dining,Not provide Dining,3.8,22,['Delivery Only']
Meenakshi Idlys & Dhosas,Porur,"['South Indian', ' Chinese']",Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Delivery Only']
Sea Angel Fast Food,Santhome,"['Chinese', ' Fast Food']",Favourite Dishe,250.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Outdoor Seating']
Cake Maker,Choolaimedu,['Bakery'],Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
Tamil Kudil Unnavagam,Chromepet,"['South Indian', ' Chinese']",Favourite Dishe,200.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Shri Poorna Snacks,Kelambakkam,"['Fast Food', ' Beverages']",Favourite Dishe,300.0,Not provide Dining,Not provide Dining,2.8,16,"['Home Delivery', 'Indoor Seating']"
Mirchi Masala,Vadapalani,"['North Indian', ' South Indian', ' Chinese']",Favourite Dishe,250.0,Not provide Dining,Not provide Dining,3.8,85,"['Home Delivery', 'Indoor Seating']"
Megabites,Poonamalle,"['Sandwich', ' Fast Food']",Favourite Dishe,100.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Indoor Seating']
Co-Cane Sugarcane Juice,Nungambakkam,['Beverages'],Favourite Dishe,100.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Indoor Seating']
Srinivasa Andhra Mess,Mylapore,"['Biryani', ' Fast Food']",Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Down Town Shakes,Mylapore,"['Beverages', ' Desserts', ' Fast Food']",Favourite Dishe,200.0,Not provide Dining,Not provide Dining,3.9,36,"['Home Delivery', 'Indoor Seating']"
Kodambakkam Kitchens,Kodambakkam,"['North Indian', ' Chinese', ' Mughlai']",Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
BonVeg,T. Nagar,"['Chinese', ' North Indian']",Favourite Dishe,350.0,Not provide Dining,Not provide Dining,3.6,55,['Delivery Only']
